variables,type,units,values,description
towerse.mu_air,input,kg/m/s,1.81e-05,
towerse.cd_usr,input,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",
towerse.joint1,output,m,"[0.0, 0.0, 15.0]",
towerse.joint2,output,m,"[0.0, 0.0, 164.386]",
towerse.s_full,output,m,"[0.0, 0.007113316798986071, 0.014226633597972141, 0.021339950396958213, 0.032588916475885736, 0.04383788255481326, 0.05508684863374078, 0.0663358147126683, 0.07758478079159584, 0.08883374687052335, 0.10008271297176444, 0.11133167907300552, 0.1225806451742466, 0.1338296112531741, 0.14507857733210164, 0.15632754341102914, 0.16757650951227024, 0.17882547561351134, 0.19007444171475243, 0.20132340779367994, 0.21257237387260747, 0.22382133995153497, 0.2350703060304625, 0.24631927210939, 0.25756823818831753, 0.26881720428955863, 0.2800661703907997, 0.29131513649204077, 0.3025641025709683, 0.31381306864989583, 0.32506203472882333, 0.3363110008300644, 0.3475599669313055, 0.3588089330325465, 0.3700578991114741, 0.3813068651904016, 0.39255583126932914, 0.40380479734825664, 0.4150537634271842, 0.4263027295061117, 0.4375516956073528, 0.4488006617085939, 0.460049627809835, 0.4712985938887625, 0.48254755996769, 0.4937965260466175, 0.5050454921478585, 0.5162944582490997, 0.5275434243503407, 0.5387923904292683, 0.5500413565081957, 0.5612903225871233, 0.5725392886660509, 0.5837882547449783, 0.5950372208239059, 0.6062861869251469, 0.6175351530263881, 0.6287841191276291, 0.6400330852065567, 0.6512820512854841, 0.6625310173644117, 0.6737799834433392, 0.6850289495222667, 0.6962779156011942, 0.7075268817024353, 0.7187758478036764, 0.7300248139049175, 0.741273779983845, 0.7525227460627725, 0.7637717121417, 0.7750206782429411, 0.786269644344182, 0.797518610445423, 0.8087675765243506, 0.8200165426032783, 0.8312655086822058, 0.8425144747611334, 0.8537634408400608, 0.8650124069189884, 0.8762613730202294, 0.8875103391214706, 0.8987593052227116, 0.9100082713016392, 0.9212572373805666, 0.9325062034594942, 0.9437551695607352, 0.9550041356619764, 0.9662531017632174, 0.977502067842145, 0.9887510339210724, 1.0]",
towerse.s_all,input,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.g2e.Px_global,input,N/m,"[1041.1009824847408, 1058.5289460229976, 1075.1317734033164, 1090.9972701122242, 1114.758096169931, 1137.095603420072, 1158.1988529022926, 1174.6084407867984, 1189.9222887766161, 1204.2527751731163, 1216.600752425104, 1228.1080934432907, 1238.846247723141, 1248.767897324784, 1258.033863170231, 1266.6920069713667, 1274.6661888240185, 1282.1102167535842, 1289.058026213771, 1295.4120006699209, 1301.3255643054356, 1306.8238542533072, 1311.7914871638181, 1316.385502838579, 1320.6251798239307, 1324.3791886545284, 1327.8109173036964, 1330.9355755686063, 1333.606634254949, 1335.9959217663222, 1338.115722739304, 1339.8043421746345, 1341.2438635127417, 1342.444406261655, 1343.2286480458738, 1343.7906369138566, 1344.138849023526, 1344.079408933044, 1343.8201224250304, 1343.3681902386961, 1342.511917272948, 1341.4747519497976, 1340.2628846699004, 1338.644914964867, 1336.8622670832772, 1334.9203152669475, 1332.5660214886946, 1330.0610492398794, 1327.4101001792158, 1324.3346489408389, 1321.1206858881021, 1317.7723466994646, 1313.984428813161, 1310.068626913702, 1306.028588210598, 1301.5204057173485, 1296.8936018410436, 1292.151390771716, 1286.9243070236505, 1281.586693553886, 1276.1413643540475, 1270.1294903054286, 1264.0139137007413, 1257.7970648093499, 1251.0704177836726, 1244.2459945589937, 1237.3258342172921, 1229.5065086772684, 1221.5933696402317, 1213.588005062507, 1205.4552856523305, 1197.2330318755792, 1188.9224293106502, 1177.8460426737101, 1166.677118262557, 1155.4155771545604, 1140.0658670255277, 1124.6125281406976, 1109.051829581281, 1102.146613856786, 1095.1642238891604, 1088.1051366384977, 1090.9793408491207, 1093.8293263974456, 1096.655564654806, 1099.4585127884325, 1102.2386143213057, 1104.9962996962302, 1107.731986784581, 1110.4460813965488, 1113.138977734387]",
towerse.g2e.Py_global,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.g2e.Pz_global,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.g2e.qdyn_global,input,Pa,"[148.65434324008314, 151.11643422205083, 153.45767759589194, 155.69098128961096, 159.02830012888506, 162.15751383141043, 165.10641172521753, 167.89737146356666, 170.5487007023043, 173.07558357199503, 175.4907646545381, 177.8050537140081, 180.02770511055365, 182.16670765262072, 184.22900930139602, 186.2206936137392, 188.14711996281548, 190.0130361324865, 191.8226696456259, 193.57980246906928, 195.28783265185143, 196.9498255325104, 198.5685566060761, 200.14654762740366, 201.68609720336082, 203.18930686328906, 204.6581033783456, 206.09425798984842, 207.49940302259208, 208.87504632625294, 210.22258385240448, 211.5433106767212, 212.83843066963956, 214.10906503651626, 215.35625985860327, 216.58099279520604, 217.78417903301536, 218.96667660384898, 220.1292911399765, 221.272780139391, 222.39785680306332, 223.50519348446414, 224.59542481813313, 225.669150541, 226.72693806176034, 227.7693247836286, 228.79682022932573, 229.8099079694552, 230.8090473963521, 231.7946753379848, 232.76720754710092, 233.72704005723938, 234.67455043714676, 235.6100989441587, 236.53402958786364, 237.44667111415723, 238.34833790806985, 239.2393308401717, 240.11993804251284, 240.9904356373393, 241.85108840401782, 242.70215040610927, 243.54386557364788, 244.3764682459364, 245.2001836796744, 246.0152285171582, 246.8218112335662, 247.62013254768675, 248.4103858144342, 249.1927573835928, 249.9674269440723, 250.73456783964482, 251.49434737469122, 252.24692709438233, 252.99246305578774, 253.7311060745453, 254.46300196318683, 255.1882917545623, 255.90711191278046, 256.6195945339077, 257.32586753013567, 258.02605481229546, 258.7202764557865, 259.40864886454074, 260.09128491834724, 260.7682941192488, 261.4397827238344, 262.1058538767338, 262.7666077309171, 263.422141568513, 264.0725499080081]",
towerse.lc:Px,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.lc:Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.lc:Pz,input,N/m,"[-1041.1009824847408, -1058.5289460229976, -1075.1317734033164, -1090.9972701122242, -1114.758096169931, -1137.095603420072, -1158.1988529022926, -1174.6084407867984, -1189.9222887766161, -1204.2527751731163, -1216.600752425104, -1228.1080934432907, -1238.846247723141, -1248.767897324784, -1258.033863170231, -1266.6920069713667, -1274.6661888240185, -1282.1102167535842, -1289.058026213771, -1295.4120006699209, -1301.3255643054356, -1306.8238542533072, -1311.7914871638181, -1316.385502838579, -1320.6251798239307, -1324.3791886545284, -1327.8109173036964, -1330.9355755686063, -1333.606634254949, -1335.9959217663222, -1338.115722739304, -1339.8043421746345, -1341.2438635127417, -1342.444406261655, -1343.2286480458738, -1343.7906369138566, -1344.138849023526, -1344.079408933044, -1343.8201224250304, -1343.3681902386961, -1342.511917272948, -1341.4747519497976, -1340.2628846699004, -1338.644914964867, -1336.8622670832772, -1334.9203152669475, -1332.5660214886946, -1330.0610492398794, -1327.4101001792158, -1324.3346489408389, -1321.1206858881021, -1317.7723466994646, -1313.984428813161, -1310.068626913702, -1306.028588210598, -1301.5204057173485, -1296.8936018410436, -1292.151390771716, -1286.9243070236505, -1281.586693553886, -1276.1413643540475, -1270.1294903054286, -1264.0139137007413, -1257.7970648093499, -1251.0704177836726, -1244.2459945589937, -1237.3258342172921, -1229.5065086772684, -1221.5933696402317, -1213.588005062507, -1205.4552856523305, -1197.2330318755792, -1188.9224293106502, -1177.8460426737101, -1166.677118262557, -1155.4155771545604, -1140.0658670255277, -1124.6125281406976, -1109.051829581281, -1102.146613856786, -1095.1642238891604, -1088.1051366384977, -1090.9793408491207, -1093.8293263974456, -1096.655564654806, -1099.4585127884325, -1102.2386143213057, -1104.9962996962302, -1107.731986784581, -1110.4460813965488, -1113.138977734387]",
towerse.lc:qdyn,input,Pa,"[148.65434324008314, 151.11643422205083, 153.45767759589194, 155.69098128961096, 159.02830012888506, 162.15751383141043, 165.10641172521753, 167.89737146356666, 170.5487007023043, 173.07558357199503, 175.4907646545381, 177.8050537140081, 180.02770511055365, 182.16670765262072, 184.22900930139602, 186.2206936137392, 188.14711996281548, 190.0130361324865, 191.8226696456259, 193.57980246906928, 195.28783265185143, 196.9498255325104, 198.5685566060761, 200.14654762740366, 201.68609720336082, 203.18930686328906, 204.6581033783456, 206.09425798984842, 207.49940302259208, 208.87504632625294, 210.22258385240448, 211.5433106767212, 212.83843066963956, 214.10906503651626, 215.35625985860327, 216.58099279520604, 217.78417903301536, 218.96667660384898, 220.1292911399765, 221.272780139391, 222.39785680306332, 223.50519348446414, 224.59542481813313, 225.669150541, 226.72693806176034, 227.7693247836286, 228.79682022932573, 229.8099079694552, 230.8090473963521, 231.7946753379848, 232.76720754710092, 233.72704005723938, 234.67455043714676, 235.6100989441587, 236.53402958786364, 237.44667111415723, 238.34833790806985, 239.2393308401717, 240.11993804251284, 240.9904356373393, 241.85108840401782, 242.70215040610927, 243.54386557364788, 244.3764682459364, 245.2001836796744, 246.0152285171582, 246.8218112335662, 247.62013254768675, 248.4103858144342, 249.1927573835928, 249.9674269440723, 250.73456783964482, 251.49434737469122, 252.24692709438233, 252.99246305578774, 253.7311060745453, 254.46300196318683, 255.1882917545623, 255.90711191278046, 256.6195945339077, 257.32586753013567, 258.02605481229546, 258.7202764557865, 259.40864886454074, 260.09128491834724, 260.7682941192488, 261.4397827238344, 262.1058538767338, 262.7666077309171, 263.422141568513, 264.0725499080081]",
towerse.z_full,output,m,"[0.0, 1.062629943333333, 2.125259886666666, 3.1878898299999996, 4.868327876666666, 6.548765923333334, 8.22920397, 9.909642016666668, 11.590080063333335, 13.270518110000001, 14.950956160000002, 16.631394210000003, 18.311832260000003, 19.992270306666665, 21.672708353333334, 23.3531464, 25.033584450000003, 26.714022500000002, 28.394460550000005, 30.07489859666667, 31.755336643333337, 33.43577469, 35.11621273666667, 36.796650783333334, 38.47708883, 40.157526880000006, 41.83796493, 43.518402980000005, 45.19884102666666, 46.879279073333336, 48.55971712, 50.240155169999994, 51.92059322, 53.60103126999999, 55.281469316666666, 56.96190736333333, 58.64234541, 60.32278345666666, 62.003221503333336, 63.68365955, 65.36409760000001, 67.04453565, 68.7249737, 70.40541174666667, 72.08584979333334, 73.76628784, 75.44672589, 77.12716394, 78.80760199, 80.48804003666667, 82.16847808333333, 83.84891613, 85.52935417666667, 87.20979222333332, 88.89023027, 90.57066832, 92.25110637, 93.93154442, 95.61198246666667, 97.29242051333333, 98.97285855999999, 100.65329660666667, 102.33373465333332, 104.0141727, 105.69461075, 107.3750488, 109.05548685, 110.73592489666667, 112.41636294333333, 114.09680098999999, 115.77723904, 117.45767708999998, 119.13811513999997, 120.81855318666663, 122.49899123333333, 124.17942928, 125.85986732666667, 127.54030537333333, 129.22074342, 130.90118146999998, 132.58161952, 134.26205757, 135.94249561666666, 137.62293366333333, 139.30337171, 140.98380975999999, 142.66424781, 144.34468586, 146.02512390666666, 147.70556195333333, 149.386]",
towerse.t_full,output,m,"[0.06632860094193938, 0.06632860094193938, 0.06632860094193938, 0.0646177278446366, 0.0646177278446366, 0.0646177278446366, 0.06256874917745649, 0.06256874917745649, 0.06256874917745649, 0.06159675555600823, 0.06159675555600823, 0.06159675555600823, 0.06088150095423967, 0.06088150095423967, 0.06088150095423967, 0.06015070538672042, 0.06015070538672042, 0.06015070538672042, 0.05940361317239999, 0.05940361317239999, 0.05940361317239999, 0.05863939480051594, 0.05863939480051594, 0.05863939480051594, 0.05785713715701704, 0.05785713715701704, 0.05785713715701704, 0.05705583187828003, 0.05705583187828003, 0.05705583187828003, 0.056234361062667965, 0.056234361062667965, 0.056234361062667965, 0.05539148039671689, 0.05539148039671689, 0.05539148039671689, 0.054525797096347604, 0.054525797096347604, 0.054525797096347604, 0.05363574570322291, 0.05363574570322291, 0.05363574570322291, 0.052719548609543934, 0.052719548609543934, 0.052719548609543934, 0.05177518955499031, 0.05177518955499031, 0.05177518955499031, 0.050800311843348336, 0.050800311843348336, 0.050800311843348336, 0.04979226710813724, 0.04979226710813724, 0.04979226710813724, 0.048747667456458255, 0.048747667456458255, 0.048747667456458255, 0.04766318517623326, 0.04766318517623326, 0.04766318517623326, 0.0465327086648685, 0.0465327086648685, 0.0465327086648685, 0.04535429538992839, 0.04535429538992839, 0.04535429538992839, 0.0441093263170273, 0.0441093263170273, 0.0441093263170273, 0.04281833577064433, 0.04281833577064433, 0.04281833577064433, 0.04137988862170243, 0.04137988862170243, 0.04137988862170243, 0.040386942001108664, 0.040386942001108664, 0.040386942001108664, 0.03947906147988725, 0.03947906147988725, 0.03947906147988725, 0.03844411179723177, 0.03844411179723177, 0.03844411179723177, 0.0384440711088536, 0.0384440711088536, 0.0384440711088536, 0.0384440711088536, 0.0384440711088536, 0.0384440711088536]",
towerse.tower_height,input,m,149.386,
towerse.E_full,output,Pa,"[200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 200000000000.0]",
towerse.G_full,output,Pa,"[79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0, 79300000000.0]",
towerse.rho_full,output,kg/m**3,"[7850.000000000001, 7850.000000000001, 7850.000000000001, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7849.999999999999, 7849.999999999999, 7849.999999999999, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7849.999999999999, 7849.999999999999, 7849.999999999999, 7850.000000000001, 7850.000000000001, 7850.000000000001, 7849.999999999999, 7849.999999999999, 7849.999999999999, 7849.999999999999, 7849.999999999999, 7849.999999999999, 7850.0, 7850.0, 7850.0, 7850.000000000001, 7850.000000000001, 7850.000000000001, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.000000000001, 7850.000000000001, 7850.000000000001, 7849.999999999999, 7849.999999999999, 7849.999999999999, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.000000000001, 7850.000000000001, 7850.000000000001, 7850.0, 7850.0, 7850.0, 7850.000000000001, 7850.000000000001, 7850.000000000001, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0, 7850.0]",
towerse.sigma_y_full,output,Pa,"[345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0, 345000000.0]",
towerse.section_A,output,m**2,"[2.06995306999683, 2.06995306999683, 2.06995306999683, 2.016908225476451, 2.016908225476451, 2.016908225476451, 1.950476487948312, 1.94471672642194, 1.9389569648955904, 1.9025368144786765, 1.8952332692177052, 1.887929723956756, 1.858847934889291, 1.8514743433889163, 1.8441007518885748, 1.8147378391972986, 1.8072924980247573, 1.7998471568522274, 1.7701959304704349, 1.7626769249941563, 1.755157919517855, 1.7252103262967635, 1.7176155190347995, 1.7100207117728579, 1.6797677350269302, 1.672094727145275, 1.6644217192636088, 1.6338532563952015, 1.6260993646640187, 1.6183454729328361, 1.587450173222818, 1.579612372018634, 1.571774570814461, 1.5405396519429193, 1.5326145389915269, 1.5246894260401347, 1.4931003914462648, 1.4850840810258195, 1.4770677706053852, 1.4451081681604976, 1.4369962760458337, 1.4288843839311587, 1.3965351631630192, 1.3883225022396355, 1.3801098413162516, 1.3473493726126389, 1.339030260854146, 1.3307111490956531, 1.297512863641365, 1.2890796520335595, 1.2806464404257316, 1.2469820121366597, 1.238428101656189, 1.2298741911757185, 1.1957004174321384, 1.1870108162426911, 1.1783212150532438, 1.143608940465153, 1.1347837810708812, 1.125958621676609, 1.0906044622238147, 1.0815924903152447, 1.0725805184066748, 1.0366309798705977, 1.0275047722707566, 1.0183785646709098, 0.9813956746077156, 0.9718692481106329, 0.9623428216135503, 0.9250887492400601, 0.9158125358006682, 0.9065363223612763, 0.8662957769720938, 0.8553139803188117, 0.844332183665524, 0.8120153284467616, 0.7983689065543625, 0.7847224846619635, 0.7569819214921137, 0.7498956738647378, 0.7428094262373673, 0.7200113191557638, 0.7200113191557638, 0.7200113191557638, 0.7200105620262408, 0.7200105620262408, 0.7200105620262408, 0.7200105620262408, 0.7200105620262408, 0.7200105620262408]",
