variables,type,units,values,description
tcons.ref_axis_blade,input,m,"[[0.0, 0.0, -7.698480685153099e-28], [-1.2789738097387547e-05, 0.0, 4.528515451676554], [-0.00016294657167011638, 0.0, 9.057030903353107], [-0.0008035725461491878, 0.0, 13.585546355029662], [-0.002531111096200066, 0.0, 18.11406180670621], [-0.0061909123784634115, 0.0, 22.64257725838277], [-0.012827336986693638, 0.0, 27.171092710059327], [-0.023748386835299885, 0.0, 31.699608161735878], [-0.040543615320120796, 0.0, 36.22812361341242], [-0.0649534276141918, 0.0, 40.75663906508898], [-0.0989658344432041, 0.0, 45.285154516765544], [-0.144900013632519, 0.0, 49.8136699684421], [-0.20523998632863982, 0.0, 54.342185420118646], [-0.2826550319675587, 0.0, 58.87070087179521], [-0.3801727790820783, 0.0, 63.399216323471755], [-0.5010821055547419, 0.0, 67.92773177514832], [-0.6486473542310596, 0.0, 72.45624722682483], [-0.826598327434926, 0.0, 76.98476267850141], [-1.0389103653417524, 0.0, 81.51327813017797], [-1.2898007435865926, 0.0, 86.04179358185453], [-1.5835817057475445, 0.0, 90.57030903353107], [-1.924802151266389, 0.0, 95.09882448520764], [-2.3183984995020226, 0.0, 99.6273399368842], [-2.769574007083989, 0.0, 104.15585538856074], [-3.2836567175793303, 0.0, 108.68437084023729], [-3.8660847519072568, 0.0, 113.21288629191386], [-4.522688061904506, 0.0, 117.74140174359039], [-5.2595992335372586, 0.0, 122.26991719526698], [-6.084363080053959, 0.0, 126.79843264694348], [-6.999999999999999, 0.0, 131.32694809862005]]",
tcons.precone,input,deg,4.0,
tcons.tilt,input,deg,6.000000000000001,
tcons.overhang,input,m,14.0,
tcons.ref_axis_tower,input,m,"[[0.0, 0.0, 15.0], [0.0, 0.0, 18.18788983], [0.0, 0.0, 23.22920397], [0.0, 0.0, 28.27051811], [0.0, 0.0, 33.31183226], [0.0, 0.0, 38.3531464], [0.0, 0.0, 43.394460550000005], [0.0, 0.0, 48.43577469], [0.0, 0.0, 53.47708883], [0.0, 0.0, 58.51840298], [0.0, 0.0, 63.55971712], [0.0, 0.0, 68.60103127], [0.0, 0.0, 73.64234541], [0.0, 0.0, 78.68365955], [0.0, 0.0, 83.7249737], [0.0, 0.0, 88.76628784], [0.0, 0.0, 93.80760199], [0.0, 0.0, 98.84891613], [0.0, 0.0, 103.89023027], [0.0, 0.0, 108.93154442], [0.0, 0.0, 113.97285856], [0.0, 0.0, 119.0141727], [0.0, 0.0, 124.05548685], [0.0, 0.0, 129.09680099], [0.0, 0.0, 134.13811513999997], [0.0, 0.0, 139.17942928], [0.0, 0.0, 144.22074342], [0.0, 0.0, 149.26205757], [0.0, 0.0, 154.30337171], [0.0, 0.0, 159.34468586], [0.0, 0.0, 164.386]]",
tcons.outer_diameter_full,input,m,"[10.0, 10.0, 10.0, 9.912094021695989, 9.798867733731491, 9.683212549424754, 9.565013152460448, 9.444143041221963, 9.32046327388989, 9.193820595794387, 9.064045585255547, 8.930949935438123, 8.7943237728865, 8.653931280153058, 8.509507328072138, 8.360748211231963, 8.207312432063077, 8.04878734454046, 7.884738119855545, 7.714515454243951, 7.5377038035774415, 7.352762941451701, 7.160611652753185, 6.954372565429866, 6.747495507438188, 6.494067002004703, 6.171403973994344, 6.000000000000001, 6.000000000000001, 6.000000000000001, 6.000000000000001]",
tcons.max_allowable_td_ratio,input,,1.4175,
tcons.rotor_orientation,input,n/a,upwind,
towerse.env.distLoads.windLoads_Px,input,N/m,"[1041.1009824847408, 1058.5289460229976, 1075.1317734033164, 1090.9972701122242, 1114.758096169931, 1137.095603420072, 1158.1988529022926, 1174.6084407867984, 1189.9222887766161, 1204.2527751731163, 1216.600752425104, 1228.1080934432907, 1238.846247723141, 1248.767897324784, 1258.033863170231, 1266.6920069713667, 1274.6661888240185, 1282.1102167535842, 1289.058026213771, 1295.4120006699209, 1301.3255643054356, 1306.8238542533072, 1311.7914871638181, 1316.385502838579, 1320.6251798239307, 1324.3791886545284, 1327.8109173036964, 1330.9355755686063, 1333.606634254949, 1335.9959217663222, 1338.115722739304, 1339.8043421746345, 1341.2438635127417, 1342.444406261655, 1343.2286480458738, 1343.7906369138566, 1344.138849023526, 1344.079408933044, 1343.8201224250304, 1343.3681902386961, 1342.511917272948, 1341.4747519497976, 1340.2628846699004, 1338.644914964867, 1336.8622670832772, 1334.9203152669475, 1332.5660214886946, 1330.0610492398794, 1327.4101001792158, 1324.3346489408389, 1321.1206858881021, 1317.7723466994646, 1313.984428813161, 1310.068626913702, 1306.028588210598, 1301.5204057173485, 1296.8936018410436, 1292.151390771716, 1286.9243070236505, 1281.586693553886, 1276.1413643540475, 1270.1294903054286, 1264.0139137007413, 1257.7970648093499, 1251.0704177836726, 1244.2459945589937, 1237.3258342172921, 1229.5065086772684, 1221.5933696402317, 1213.588005062507, 1205.4552856523305, 1197.2330318755792, 1188.9224293106502, 1177.8460426737101, 1166.677118262557, 1155.4155771545604, 1140.0658670255277, 1124.6125281406976, 1109.051829581281, 1102.146613856786, 1095.1642238891604, 1088.1051366384977, 1090.9793408491207, 1093.8293263974456, 1096.655564654806, 1099.4585127884325, 1102.2386143213057, 1104.9962996962302, 1107.731986784581, 1110.4460813965488, 1113.138977734387]",
towerse.env.distLoads.windLoads_Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
